"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24271.9404205267","","","","","","","",
"Afghanistan","AFG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364.570572951991","376.758714204473","364.095436021804","389.416357791097","397.985904741902","440.368155343632","444.950137932355","524.823533211573","553.300289383064","569.233387721432","630.427412567377","633.658411271767","630.320014012209","620.05652498092","617.889972323552","618.332789965442",
"Angola","AGO","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2333.59793102826","2154.99743566209","2079.06121325516","2090.16552445921","2141.03709084387","2146.68484997307","2145.83321650625","2174.26654684678","2248.26345202992","2189.62448746567","2054.29484729375","2011.52777624208","1833.49114398725","1348.48435776496","1323.34466977685","1476.23116887027","1628.99484387189","1700.3918548999","1732.4719666377","1720.82535943688","1720.41165371853","1735.52192801493","1906.52920315211","1924.28658593245","2046.82617813531","2387.8254144866","2741.71228334124","3259.2323217716","3579.70277416979","3537.61988847575","3531.41687831962","3539.5430776984","3592.62377074887","3705.25535150932","3746.66048817404","3729.0035408607","3576.18689373314","3484.59951491702",
"Albania","ALB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2110.63321786369","2187.64280609897","2205.05294417041","2182.63191793138","2110.44142829518","2104.30858368632","2180.37209056524","2120.42283887391","2051.24357018799","2193.2638245449","1947.8835449081","1379.8169783237","1288.25896491087","1420.57328795871","1547.95435292012","1764.69929632752","1937.29007198088","1738.16646043428","1906.71726144227","2177.89663307357","2337.9423863713","2547.37731608619","2663.14047692587","2827.45577750698","3001.40861793158","3189.39511117692","3383.89372561197","3610.72755370642","3775.38098775973","3928.33863824236","4094.35883191918","4210.08219850607","4276.92155019231","4327.64451802716","4413.56158290959","4524.64443153606","4683.80021257139","4868.1973465433",
"Andorra","AND","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","42137.5189947395","41883.1412123491","43051.2231750558","44201.7280770732","44648.3822216412","43158.00760544","43079.8158044325","42958.8938568115","42339.3340715661","41041.8667765521","40495.698015877","38896.6259416659","37756.4209028065","36776.5149572427","35820.9317453704","35095.9925402225","34744.3924512447","35204.9894579815","35546.6495470777","35831.6208246801","35780.5196725988","35291.7114092924","34278.6471002551","32766.0596707401","32633.8251274783","32917.6488213571","34175.2600684125","37293.2824132908","38595.7232096964","40035.4824490851","40801.5421300322","41420.8461776969","42396.3023980284","45519.4923839434","47032.8668884706","48831.9293599384","49708.4004893013","48710.6646202996","43900.9517028654","41979.8659013974","39736.3540626699","38205.7710887919","38190.5865853723","39104.301849019","40785.0492283396","41765.9203531235","42958.558392534","43942.9381865109",
"Arab World","ARB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","4081.91494234906","4584.9330904349","4815.8263640627","4621.88688534391","4990.74445417505","5273.00896650911","5244.94890784324","4626.21507965678","4191.12482659959","4109.27277061204","3901.78818831669","3957.51941355461","3820.49526437177","3921.08915365145","3894.4898181609","4250.44512138853","4201.79161692383","4324.67203551064","4347.91153662636","4376.09216306583","4362.82942562317","4458.03469194459","4546.27198023299","4681.20433597727","4670.11817377404","4818.58973540655","4795.15276672119","4724.64581017686","4870.03122549833","5208.60287295464","5382.99374953016","5599.10250838131","5713.9550655563","5898.88524990116","5784.69061413773","5917.24572387373","5989.89917633508","6246.93995497334","6301.03905705301","6317.59136199752","6389.31394480027","6449.36504919855","6399.67859995479",
"United Arab Emirates","ARE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","102479.189034393","102319.727514163","107452.18038336","92822.3616039068","100480.436764231","113682.038244614","110644.551564704","97254.0615227025","87942.9026877669","86936.8490892882","79439.2866285564","63832.1312517683","62248.9287498876","57136.0525999693","60523.2281305091","67606.9169233671","64386.0911209448","62821.1576886423","60133.1929557377","60932.2776417447","61818.2337791354","62294.1289696621","64176.4841609176","61231.2297229213","59845.0370389603","62833.2510712003","60434.6739832762","58707.0071667036","59867.2899395864","60042.5973540766","56199.0292674233","53926.5970978141","48260.0109053853","43658.9447787703","37203.397993339","35037.8926731322","35730.32934878","36376.4536782084","37765.7168368805","39146.1120872366","40753.8863426086","41449.6814172376","41197.1687786643",
"Argentina","ARG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","5605.19172213837","5815.2335573695","5675.06004288477","5290.76622217599","5738.59769021983","6251.32182035585","6120.71218384643","6226.99775509462","6434.95377674533","6954.7641154732","7056.8480638535","7335.75913605167","7329.92115775342","7407.36675350676","7685.85721205637","7559.14374920499","7291.84042863613","7681.01757078943","7227.56412439979","7849.36333967784","8052.68965458607","7478.13043222079","6996.96291844645","7154.41125458419","7198.71994194112","6550.15032295869","6958.75247038685","7053.98564085254","6772.22301661005","6173.68498096309","5939.75691560173","6598.72263482743","7285.42942771472","7612.68115329614","7952.71155173317","7630.02227409899","7955.12765176278","8500.94036184635","8728.94765116614","8339.89438868086","8182.68650230868","7735.49336439011","6816.73485537778","7337.79203783303","7913.74312362482","8522.52273238782","9112.11316338653","9830.68091982204","10125.1262721185","9428.50254117176","10276.2604977053","10780.0156577357","10557.8853892544","10699.1977159711","10323.20693976","10498.5925297592","10206.2495504416","10398.0924648569",
"Armenia","ARM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1796.93643165951","1601.59382254967","949.033221278773","886.032785925221","956.470885506279","1043.54314093392","1121.88162869349","1172.1368024271","1267.57528264648","1317.74192343814","1404.32146204631","1548.0758512453","1761.88827204793","2019.98486736483","2244.22017070239","2571.98575552046","2933.83347842552","3366.16218732912","3629.15770214106","3136.81172720558","3218.38165488465","3371.6728305502","3606.48055353557","3710.5757426146","3827.34319548141","3935.28877242969","3932.55461733401","4219.36854935891",
"American Samoa","ASM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10613.9115418862","10630.4536535068","10661.173537835","10644.5810685804","10282.4565949728","10619.6136467331","10500.3858391248","10199.0601502139","10352.8227618312","10442.7264995652","10000.3110739949","9711.11271653165","9779.88348722076","9884.11186605049","9614.47267179797","",
"Antigua and Barbuda","ATG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","4429.54255251132","4595.40355685556","4952.92044732024","5363.42302580371","5596.68643314411","5639.6857834531","6009.30273201763","6705.70254770422","7315.8166233318","8272.02435806321","8945.48375466537","9522.29417834039","10087.2651462129","10380.307825656","10509.9922411754","10457.7140897922","10772.0218720648","11205.8221937841","10440.7068934545","10834.6287714332","11117.0947807136","11335.1285555574","11470.9864981247","11981.9163616222","11191.1025838328","11147.2635831983","11683.4625522884","12218.7448552698","12857.1643042881","14325.4810226446","15466.9527954497","15278.8740470609","13270.6971014231","12174.6978594572","11789.7990769713","12069.8113772725","11928.2184658505","12403.5282209861","12771.7675773519","13315.5086311154","13618.3597014332",
