"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2467703910.61453","","","","","","","",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8013233121.55065","8689883606.07776","8781610175.40574","9762978844.07633","10305228125.1392","11721187594.2052","12144482858.18","14697331940.6464","15936800636.2487","16911126453.2276","19352203805.6294","20107051005.0514","20648035625.4122","20918533234.6796","21413614653.3241","21969414112.4281",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","20838796164.2892","19921888878.9602","19921888878.9602","20758608496.4292","22004125455.5086","22774269734.128","23434723953.2938","24391504825.9617","25886433442.242","25897207754.26","25003728530.4399","25251605316.555","23777345709.6714","18074725634.6424","18316811901.127","21064333691.2228","23917364932.2628","25657180391.1393","26860796296.8363","27446761809.8841","28285157247.5007","29474830552.3105","33502768495.2418","35028498785.4786","38614841378.0661","46688056705.4167","55553668228.2613","68436340152.8433","77892256138.3256","79771725943.3186","82526143645.0623","85722654097.5388","90161025044.2793","96330488415.3587","100861846285.433","103887446990.918","103042328743.665","103785984479.995",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5639605626.23213","5963636797.42292","6139480401.28891","6207317869.32012","6129627287.14195","6238774125.18701","6590468993.96566","6538546468.0658","6445696515.37026","7079730609.59294","6401801081.44935","4507572306.61807","4183027101.16522","4584597704.7764","4965119313.34799","5625480181.64411","6137398878.60781","5472236442.22248","5965222153.93997","6770597139.17318","7221967155.94539","7795415283.49943","8125268226.5056","8594379820.60265","9085080800.55321","9604821915.17285","10126461016.8989","10723922216.8765","11127233240.5581","11500286001.8886","11926953258.916","12231109752.6888","12404787541.0993","12528929022.9843","12751238423.4304","13034156787.8592","13471082475.1768","13988555742.8063",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1022930411.1163","1070491206.24643","1157733493.6236","1247903187.07193","1318020243.18285","1325166623.52504","1368947306.81745","1407805910.58157","1428402113.57242","1428995717.42599","1460558340.33864","1458623472.81247","1476804647.19237","1502945836.75764","1529768711.11779","1565281267.29392","1616204903.65455","1705857764.18649","1792759723.25731","1879296849.01282","1950360346.83369","2000016577.27601","2018600970.43982","1997779424.18469","2045390257.51495","2101791877.24365","2199519738.00303","2398964977.79976","2475606878.11635","2577084005.24761","2668012839.88281","2789321202.45229","2969818586.67949","3331207491.64175","3585973903.04456","3851227772.83026","4025933064.029","4027543882.80023","3681577710.754","3545703433.76383","3355695364.23841","3199771534.45741","3148088242.81882","3159158337.77854","3231113955.01675","3258326510.42858","3319880351.13342","3382068237.52481",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","574910362635.922","666339229003.792","723014719570.448","717241618774.429","800477919977.338","873682166426.321","897158738336.956","816481088010.692","762809140125.491","770943771104.74","754255849121.744","787917448020.218","782982037922.779","826741144672.224","844276329794.554","955225680053.776","969899004298.035","1016458715326.61","1049090578686.38","1082802434133.91","1112650953045.8","1162849202762.93","1211922794101.01","1274388345860.61","1298119446151.27","1367670038877.35","1389876741303.67","1398620717274.76","1472865551198.57","1610302232457.89","1702451054020.86","1812839694609.21","1895054893379.13","2004591529209.24","2013911657619.9","2109550811385.89","2185689519080.27","2332026370042.65","2405119752044.61","2464132464500.16","2544895435211.11","2621361773038.73","2652614852689.1",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56806673982.3009","66195031477.1953","80386802831.8584","79108971545.2688","95661395017.0183","118500337753.574","124021477848.877","115688082614.023","110197733641.933","114624322913.547","110504178543.227","93974812607.2158","97153023580.6671","94608675561.6065","106281391095.984","125760629081.007","126842273546.63","131085077658.271","132738310796.46","141892141892.444","151381727243.022","160159451463.581","173277148999.319","173783108481.96","178826665568.414","198234194635.807","201007659577.944","205899094159.292","224019327978.216","245449995044.248","257366938869.98","282684947637.849","291686739332.879","300996902491.491","285215869952.349","289787338325.391","309870388019.061","323766916269.571","340127978216.474","355089176310.415","373073383253.914","384222464261.402","387259360108.918",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868508.15","121847036500.547","120808873523.837","114396100733.294","125984766250.65","139300642138.499","138381639345.114","142798776600.374","149685248718.023","164174071297.927","169174227931.948","178746327507.296","181657062226.624","186764812014.466","197100011389.723","197044011131.933","193067167388.744","206454730042.606","197151622246.269","217305966255.665","226327993530.555","213450998966.355","202869851896.919","210731309048.029","215392208305.706","199051096781.772","214727922914.33","220976490720.555","215326332052.416","199185061978.086","194406693571.09","219037458045.206","245192227489.582","259675534967.549","274830720366.623","267011210297.951","281768091694.844","304622433397.251","316350941905.026","305641016669.195","303229512290.352","289860609223.184","258281789127.305","281106256200.528","306488951656.956","333618311350.415","360465082297.96","392934518437.813","408876787794.809","384677312577.801","423627422092.49","449061807872.401","444452545623.356","455143068397.581","443707073929.401","455825423287.839","447517812725.52","460334377833.471",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6357857589.72256","5613988348.08606","3267341064.55077","2979815090.27954","3140725187.90155","3357435176.13862","3554362204.25115","3672405405.76911","3940490999.95859","4070527203.11312","4310688308.03981","4722645335.98072","5345387542.90141","6095922452.64279","6734033974.85163","7667755681.51717","8679746345.9219","9873142200.51879","10554389012.5207","9060944166.21842","9260284937.79782","9695518329.74638","10393595649.8063","10736584306.437","11123101341.572","11479040584.7388","11501998665.6524","12364648565.4688",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623365638.76652","628440528.634361","631823788.546256","629286343.612335","603066079.295154","614907488.986784","598837004.405286","573462555.066079","576000000","577691629.955947","552317180.61674","537092511.013216","542167400.881057","548933920.704846","534555066.079295","",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","322802913.514263","336953370.402877","364178334.650562","393900513.861076","408927490.924108","408583955.63961","430500438.419011","474260812.686381","510512315.609339","569189724.053971","606906345.335272","638546003.01115","672084214.896725","692325010.739955","707396047.776794","715590002.022208","753373665.688466","803670361.916","768634400.789226","819401304.725953","864231831.157892","905121350.289817","938682296.128043","1001496497.16983","951881612.473067","961629840.268185","1019884496.57692","1078389764.69155","1147540485.65063","1293605261.82583","1413385613.40099","1412959714.1241","1241885105.44827","1152469074.07407","1128507777.84862","1168080135.6583","1166866043.20336","1226398852.85","1276193331.63173","1344373697.9233","1389236109.8626",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","199233335311.047","204185489129.557","206832708442.16","219685868796.259","235017138629.724","249079271685.863","255013563382.021","271085501763.945","284899661266.538","304968445514.788","326841338993.587","339927838396.432","353228164174.958","362460910647.293","377331193579.577","382426440333.903","392323430718.522","406436784541.459","410081589264.555","426663296230.325","439609141781.487","454282671927.023","469401741440.896","458980347967.632","480006879252.198","505203431376.55","525690112039.628","538860353331.047","569473298287.268","591498228010.372","612582484286.091","610208442396.41","612909321559.945","637665212484.226","663034939582.038","688424992380.96","715126459415.518","743491381828.941","777519044571.69","816535447394.947","848732984009.725","865139889945.946","899771632525.692","926636518197.177","963712223078.423","994457691605.883","1022642934821.49","1061271523267.56","1100090360276.03","1121242097879.43","1144260547872.81","1172307576320.87","1217933084117.14","1250080212993.17","1282061484148.13","1312204498894.69","1349304594617.26","1375718249724.1",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836703339.5229","96922600975.7382","99489765786.6089","103606918511.136","109952172697.415","113778700633.421","120199075025.325","123814720654.546","129352102232.948","137470068345.607","146159747322.549","153635772670.608","163173267863.472","171153151159.323","177900244807.952","177253158036.877","185368597102.924","194785286243.434","194374964316","204787047701.607","208332905591.186","208032292628.472","212216351195.68","218525730110.73","218637779730.792","224100834862.979","229258275343.493","232369695258.041","240028322052.062","249358402441.892","260194624813.073","269149554294.002","274784266755.542","276231856329.01","282867273580.389","290414126234.635","297237508056.37","303460462050.854","314328689139.021","325507255365.782","336495475309.688","340759446602.411","346387257223.224","349648400806.147","359211698966.039","367272649488.203","379958397501.957","394121024471.145","399876867204.146","384823180705.023","391892746544.69","403346978477.779","406091530301.534","406195100294.014","409561376690.276","414033189912.921","420040461384.701","432789834749.335",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22325675014.6271","22169395298.4412","17159111873.5004","13195357108.1839","10595871755.3639","9345558792.93588","9467051075.91296","10016140087.9139","11017754124.5694","11833067993.8748","13146538452.8659","14448045759.6996","15979538494.8706","17769246844.1912","19581710093.0734","24751281715.9126","33290473786.6938","41629404406.7868","46113899018.7892","50453518392.5171","52902703376.1056","52937578302.4383","54102205124.8452","57238335961.2495","58383102680.4744","59025316698.5035","57195531761.5917","57252727186.9126",
